round_id,timestamp,phase,decision,action_type,changed_keys,score,primary_metric_name,primary_metric_value,tps,p95_latency_ms,llm_call_count,llm_input_tokens,llm_output_tokens,llm_total_tokens,audit_action,exploration_mode,auditor_next_phase,next_step,if_failed_next,reason
1,2026-05-28T01:38:21.520408,db,accepted,db_config,"back_log,innodb_adaptive_hash_index_parts,innodb_buffer_pool_instances,innodb_buffer_pool_size,innodb_doublewrite,innodb_flush_log_at_trx_commit,innodb_flush_method,innodb_io_capacity,innodb_io_capacity_max,innodb_log_buffer_size,innodb_lru_scan_depth,innodb_page_cleaners,innodb_read_ahead_threshold,innodb_read_io_threads,innodb_redo_log_capacity,innodb_sync_array_size,innodb_use_fdatasync,innodb_write_io_threads,max_connections,performance_schema,skip-log-bin,sync_binlog,thread_cache_size",18732.90665001561,tps,10000.25,10000.25,0.5338333333333333,1,35694,5509,41203,continue_db,benchmark_max,db,如果本轮 tps/p95 明显提升，下一轮围绕当前组合细调：比较 buffer pool 40GB/56GB、innodb_flush_log_at_trx_commit=0 vs 2、io_capacity 1000/4000 vs 2000/6000，并评估 performance_schema=false 的收益是否稳定。,如果回退或延迟变差，优先不要重复完整 benchmark_max 写路径组合；先保留大 buffer pool，回滚最危险/最可能引入噪声的项：performance_schema 恢复 ON、innodb_doublewrite 恢复 true、skip-log-bin 保持或拆分验证、innodb_flush_method 回 fsync/O_DIRECT 单独比较，并降低 io_capacity/page_cleaners 到 1000/3000/4。,Score improved from 985.110 to 18732.907 (1801.60%).
2,2026-05-28T01:40:25.251179,db,rejected,db_config,"innodb_adaptive_hash_index,innodb_flush_log_at_timeout,innodb_flush_log_at_trx_commit,innodb_flush_sync,innodb_io_capacity,innodb_io_capacity_max,innodb_log_checksums,innodb_lru_scan_depth,transaction_isolation",,,,,,1,38804,5369,44173,continue_db,benchmark_max,db,如果本轮成功或接近成功，下一轮沿两条线拆分细调：先比较 innodb_flush_log_at_timeout=10/60/2700 与 innodb_flush_log_at_trx_commit=0 的组合，再单独验证 AHI=false 是否贡献正收益；若 p95 仍低，可继续测试更低 io_capacity=500/max=1500 或恢复到 2000/6000 找最佳点。,如果本轮回退，优先认为是 AHI=false、READ-COMMITTED 或过低后台刷脏引起；下一轮回滚 innodb_adaptive_hash_index=true、transaction_isolation=REPEATABLE-READ、innodb_io_capacity=2000、innodb_io_capacity_max=6000、innodb_lru_scan_depth=512，仅保留或单独测试 innodb_flush_log_at_trx_commit=0。不要立刻重复本轮整组组合。,Blocked unsafe DB knob(s): transaction_isolation
3,2026-05-28T01:43:34.736116,db,rollback,db_config,"innodb_flush_log_at_timeout,innodb_flush_log_at_trx_commit,innodb_flush_sync,innodb_io_capacity,innodb_io_capacity_max,innodb_log_checksums,innodb_lru_scan_depth",16863.85609893198,tps,10000.266666666666,10000.266666666666,0.5930000000000001,1,41599,3993,45592,continue_db,benchmark_max,db,如果本轮成功或接近成功，下一轮先保留 trx_commit=0 与 log_checksums=false，细分比较 innodb_flush_log_at_timeout=60/2700 和 io_capacity=500/1500 vs 1000/3000；随后单独测试 innodb_adaptive_hash_index=false，判断是否能在不损害点查的情况下降低写维护成本。,如果本轮回退，优先回滚 innodb_flush_log_at_timeout 到 1 或 60、innodb_io_capacity/io_capacity_max 到 2000/6000、innodb_lru_scan_depth 到 512、innodb_flush_sync=true；不要重复包含 transaction_isolation 的候选。可单独只测试 innodb_flush_log_at_trx_commit=0，或改走静态 innodb_flush_method=O_DIRECT_NO_FSYNC 的小范围重启验证。,"Score did not improve enough: incumbent=18732.907, candidate=16863.856."
4,2026-05-28T01:46:40.407239,db,rollback,db_config,innodb_flush_method,17825.757575757572,tps,10000.25,10000.25,0.561,1,43115,3550,46665,continue_db,normal,db,如果本轮成功或接近历史最佳，下一轮沿读路径继续细调：在 fsync 下比较 innodb_buffer_pool_size=16GB/32GB/48GB，判断小数据集是否可用更小 buffer pool 降低管理开销并给 OS cache 更多空间；随后可单独测试 innodb_adaptive_hash_index=false。,如果本轮回退，立即把 innodb_flush_method 恢复为 O_DIRECT，不要继续在 fsync 路线上叠加其它变化；下一轮优先做单独动态 probe：仅测试 innodb_adaptive_hash_index=false，或仅测试 innodb_flush_log_at_trx_commit=0 且保持 timeout=1、io_capacity=2000/6000、lru_scan_depth=512，避免重复第三轮失败组合和 transaction_isolation。,"Score did not improve enough: incumbent=18732.907, candidate=17825.758."
5,2026-05-28T01:49:18.040467,db,accepted,db_config,innodb_adaptive_hash_index,19060.228716645488,tps,10000.266666666666,10000.266666666666,0.5246666666666667,1,44570,2767,47337,continue_db,normal,db,如果本轮成功或接近历史最佳，下一轮在 AHI=false 的基础上细调 buffer pool 大小，优先比较 innodb_buffer_pool_size=16GB 或 32GB，判断小数据集是否可用更小 buffer pool 降低管理开销；也可进一步测试 innodb_old_blocks_time=0/1000 对 create-load 后热点污染的影响。,如果本轮回退，立即恢复 innodb_adaptive_hash_index=true，不要继续在 AHI=false 上叠加其它变化；下一轮可做单 knob 测试 innodb_flush_log_at_trx_commit=0 但保持 timeout=1、io_capacity=2000/6000、lru_scan_depth=512、flush_sync=true，或改测 innodb_buffer_pool_size=32GB，不要重复第三轮的 timeout=2700 + log_checksums=false + 低 io_capacity 组合，也不要再提交 transaction_isolation。,Score improved from 18732.907 to 19060.229 (1.75%).
6,2026-05-28T01:52:04.992117,db,rollback,db_config,innodb_buffer_pool_size,18100.0,tps,10000.25,10000.25,0.5525,1,45839,2877,48716,continue_db,normal,db,如果本轮成功或接近历史最佳，下一轮继续在 AHI=false 与较小 buffer pool 方向细调：比较 innodb_buffer_pool_size=8589934592 或 34359738368，或单独测试 innodb_old_blocks_time=0，观察 p95 是否进一步下降。,如果本轮回退，立即恢复 innodb_buffer_pool_size=51539607552，不要在 16GB 上叠加其它变量；下一轮可改测 32GB 作为中间值，或单独测试 innodb_flush_log_at_trx_commit=0 但必须保持 timeout=1、log_checksums=true、io_capacity=2000/6000、lru_scan_depth=512、flush_sync=true，避免重复第三轮失败组合和 transaction_isolation。,"Score did not improve enough: incumbent=19060.229, candidate=18100.000."
7,2026-05-28T01:54:56.625879,db,rollback,db_config,innodb_old_blocks_time,18957.756714060033,tps,10000.216666666667,10000.216666666667,0.5275,1,46315,3548,49863,continue_db,normal,db,如果本轮成功或接近历史最佳，下一轮继续沿 LRU/读路径细调：可单独比较 innodb_old_blocks_pct=5 或 20（保持 old_blocks_time=0），或再做一次 repeat_benchmark 验证 p95 是否稳定低于 0.52ms。,如果本轮回退，恢复 innodb_old_blocks_time=1000，不要继续在 old_blocks_time=0 上叠加其它变量；下一轮优先改测 innodb_buffer_pool_size=34359738368 作为 48GB 与失败的 16GB 之间的中间值，或转向重启项 innodb_flush_method=O_DIRECT_NO_FSYNC 但必须保持 trx_commit=2、timeout=1、log_checksums=true、io_capacity=2000/6000、lru_scan_depth=512，避免重复第三轮失败组合和 transaction_isolation。,"Score did not improve enough: incumbent=19060.229, candidate=18957.757."
8,2026-05-28T01:58:36.821096,db,rollback,db_config,"innodb_adaptive_hash_index,innodb_buffer_pool_size,innodb_flush_log_at_timeout,innodb_flush_log_at_trx_commit,innodb_flush_method,innodb_io_capacity,innodb_io_capacity_max,innodb_log_checksums,innodb_lru_scan_depth",18773.936170212764,tps,10000.25,10000.25,0.5326666666666667,1,47157,5415,52572,continue_db,benchmark_max,db,如果本轮成功或接近突破历史最佳，下一轮保留 O_DIRECT_NO_FSYNC，先做 repeat_benchmark 验证稳定性；随后可在该 flush method 下单独测试 innodb_log_writer_threads=false 或 innodb_flush_log_at_trx_commit=0(timeout=1、log_checksums=true、io_capacity=2000/6000 不变)，不要叠加第三轮失败的 timeout=2700/低 io_capacity/log_checksums=false。,如果本轮回退，立即恢复 innodb_flush_method=O_DIRECT，不要继续在 O_DIRECT_NO_FSYNC 上叠加其它变量；下一轮优先做低风险动态单点：innodb_log_writer_threads=false，或按前轮计划测试 innodb_buffer_pool_size=34359738368 作为 48GB 与失败 16GB 之间的中间值。继续避免 fsync 路线、old_blocks_time=0、transaction_isolation 以及第三轮的整组 redo/flush 放松组合。,"Score did not improve enough: incumbent=19060.229, candidate=18773.936."
9,2026-05-28T02:01:55.069052,os_sysctl,accepted,os_config,"fs.aio-max-nr,kernel.sched_autogroup_enabled,net.core.netdev_max_backlog,net.core.somaxconn,net.ipv4.tcp_max_syn_backlog,vm.dirty_background_ratio,vm.dirty_expire_centisecs,vm.dirty_ratio,vm.dirty_writeback_centisecs,vm.swappiness,vm.vfs_cache_pressure",19262.15088282504,tps,10000.266666666666,10000.266666666666,0.5191666666666667,2,101547,5498,107045,switch_to_os_sysctl,normal,os_sysctl,如果本轮成功或接近历史最佳，下一轮留在 os_sysctl 做拆分细调：优先固定 vm.swappiness=1、kernel.sched_autogroup_enabled=0、fs.aio-max-nr=1048576，然后分别比较 dirty 组 3/8/50/500 与 8/15/200/2000，判断更早写回还是更少后台 IO 更有利于 p95。,如果本轮回退，优先回滚 dirty writeback 组到默认 10/20/500/3000，因为它最可能增加背景 IO；可保留或单独验证 vm.swappiness=1、fs.aio-max-nr=1048576、kernel.sched_autogroup_enabled=0。不要重复提交 kernel.sched_migration_cost_ns，也不要立刻转向更激进的 dirty_ratio 更低组合。,Score improved from 19060.229 to 19262.151 (1.06%).
10,2026-05-28T02:04:21.562303,os_sysctl,rollback,os_config,"fs.aio-max-nr,kernel.numa_balancing,kernel.sched_autogroup_enabled,net.core.netdev_max_backlog,net.core.somaxconn,net.ipv4.tcp_max_syn_backlog,net.ipv4.tcp_tw_reuse,vm.dirty_background_ratio,vm.dirty_expire_centisecs,vm.dirty_ratio,vm.dirty_writeback_centisecs,vm.swappiness,vm.vfs_cache_pressure",17432.103428239396,tps,10000.216666666667,10000.216666666667,0.5736666666666667,1,50708,2343,53051,continue_os_sysctl,aggressive,os_sysctl,如果本轮成功或接近历史最佳，下一轮继续在 os_sysctl 拆分：先固定 dirty 3/8/50/500，再单独比较 vm.vfs_cache_pressure=10/25/50，或在 dirty 激进组下小幅提高 net.core.somaxconn/tcp_max_syn_backlog 到 16384 判断 loopback 连接队列是否还能降低 p95。,如果本轮回退，优先认为 dirty 组过激导致后台 IO 噪声，回到上一轮已接受的 dirty_background_ratio=5、dirty_ratio=10、dirty_writeback_centisecs=100、dirty_expire_centisecs=1000，并把 vm.vfs_cache_pressure 恢复为 50；随后测试较温和的反方向 dirty 组 8/15/200/2000，判断减少后台写回频率是否更利于 p95。继续避免 kernel.sched_migration_cost_ns。,"Score did not improve enough: incumbent=19262.151, candidate=17432.103."
