round_id,timestamp,phase,decision,action_type,changed_keys,score,primary_metric_name,primary_metric_value,tps,p95_latency_ms,audit_action,exploration_mode,auditor_next_phase,next_step,if_failed_next,reason
1,2026-05-15T23:33:51.089899,db,rejected,db_config,"autovacuum,backend_flush_after,bgwriter_delay,bgwriter_flush_after,bgwriter_lru_maxpages,bgwriter_lru_multiplier,checkpoint_completion_target,checkpoint_flush_after,checkpoint_timeout,compute_query_id,effective_cache_size,effective_io_concurrency,fsync,full_page_writes,hot_standby,jit,log_checkpoints,maintenance_io_concurrency,maintenance_work_mem,max_connections,max_logical_replication_workers,max_replication_slots,max_wal_senders,max_wal_size,min_wal_size,random_page_cost,shared_buffers,ssl,synchronous_commit,temp_buffers,update_process_title,wal_buffers,wal_init_zero,wal_level,wal_writer_delay,wal_writer_flush_after,work_mem",,,,,,continue_db,benchmark_max,db,如果本轮成功或接近成功，下一轮不要回到保守 durability；优先围绕该 benchmark_max 基线细调 shared_buffers 8/16/24GB、bgwriter_flush_after/checkpoint_flush_after 是否恢复到 512KB~1MB、wal_writer_delay 10/50ms、max_connections 48/80，并用 state_metric 看 blks_hit/read、buffers_backend、checkpoint_req、wal_sync 和 p95 抖动。,如果本轮明显回退或 PostgreSQL 因 wal_level=minimal/max_wal_senders/max_replication_slots 组合启动失败，先保留 memory/cache 与 checkpoint 放大，回退 wal_level=replica、max_wal_senders=10、max_replication_slots=10、hot_standby=true；若回退原因是 p95 抖动或 IO full 上升，则恢复 fsync=on/full_page_writes=on 但保留 synchronous_commit=off，并把 checkpoint_flush_after/bgwriter_flush_after 调回 524288 或 1048576；如果是内存压力，则把 shared_buffers 降到 8GB。,"Blocked unsafe DB knob(s): max_logical_replication_workers, max_replication_slots"
2,2026-05-15T23:36:43.379919,db,accepted,db_config,"autovacuum,backend_flush_after,bgwriter_delay,bgwriter_flush_after,bgwriter_lru_maxpages,bgwriter_lru_multiplier,checkpoint_completion_target,checkpoint_flush_after,checkpoint_timeout,compute_query_id,effective_cache_size,effective_io_concurrency,fsync,full_page_writes,hot_standby,jit,log_checkpoints,maintenance_io_concurrency,maintenance_work_mem,max_connections,max_wal_senders,max_wal_size,min_wal_size,random_page_cost,shared_buffers,ssl,synchronous_commit,temp_buffers,update_process_title,wal_buffers,wal_init_zero,wal_level,wal_writer_delay,wal_writer_flush_after,work_mem",606.5573033707865,tps,5398.36,5398.36,8.9,continue_db,benchmark_max,db,如果本轮成功或接近成功，下一轮不要回到保守 durability；优先围绕这条 benchmark_max 基线细调 shared_buffers 8/16/24GB、bgwriter_lru_maxpages 1000/2000、checkpoint_flush_after/bgwriter_flush_after 0 vs 524288/1048576、wal_writer_delay 10/20/50ms、max_connections 48/64/80，并用 blks_hit/read、evictions、buffers_backend、checkpoints_req、wal_sync、wal_fpi 和 p95 抖动判断方向。若 wal_level=minimal 可执行且收益明显，再考虑是否加入更激进的观测开销削减。,如果本轮被拒绝或 PostgreSQL 启动失败，优先怀疑 wal_level=minimal 与保留的 replication slot/logical 默认值或 max_wal_senders/hot_standby 组合不兼容；下一轮回退 wal_level=replica、max_wal_senders=10、hot_standby=true，但保留 shared_buffers/effective_cache_size、max_wal_size/min_wal_size、synchronous_commit=off、fsync=false、full_page_writes=false、bgwriter 和 overhead 组合重新验证。若本轮成功启动但实测 p95 明显变差，避免继续 checkpoint_flush_after=0/bgwriter_flush_after=0，改回 524288 或 1048576；若 TPS 下降且 WAL/IO 抖动明显，先恢复 fsync=on/full_page_writes=on 但保留 synchronous_commit=off 和内存/checkpoint 放大。若出现内存压力或启动慢，shared_buffers 降到 8GB。不要再尝试修改 max_replication_slots/max_logical_replication_workers，上一轮已被 validator 阻止。,Score improved from 95.730 to 606.557 (533.61%).
3,2026-05-15T23:39:55.237949,db,rollback,db_config,"bgwriter_delay,bgwriter_lru_maxpages,bgwriter_lru_multiplier,max_connections,plan_cache_mode,stats_fetch_consistency,track_activities,track_counts,wal_writer_delay,wal_writer_flush_after",430.05915492957746,tps,4580.13,4580.13,10.65,continue_db,benchmark_max,db,如果本轮超过或接近当前最好结果，下一轮继续在 CPU-overhead 方向做拆分细调：优先试 max_connections=40 或 56、wal_writer_delay=100 vs 20、保留 track_counts=false 但单独恢复 track_activities=true 评估可观测性开销；若仍稳定提升，再考虑 shared_buffers=24GB/effective_cache_size=52GB 的静态缓存 probe。,如果本轮回退，优先回退 track_counts=true 和 track_activities=true，因为它们同时牺牲可观测性且可能不是瓶颈；若出现连接错误或采集失败，把 max_connections 恢复 64；若 p95 变差但 TPS 接近，先把 wal_writer_delay 恢复 20、wal_writer_flush_after 恢复 4MB；若只有 force_generic_plan 回退迹象，则恢复 plan_cache_mode=auto。不要重试 max_replication_slots/max_logical_replication_workers，也不要回退已成功的 benchmark_max durability 基线，除非出现启动失败或数据目录损坏。,"Score did not improve enough: incumbent=606.557, candidate=430.059."
4,2026-05-15T23:42:38.268712,db,rollback,db_config,"stats_fetch_consistency,track_counts",588.5066225165563,tps,5331.87,5331.87,9.06,continue_db,benchmark_max,db,如果本轮成功或接近当前最好结果，下一轮在保持 track_counts=false 的基础上再做一个单变量/小组合 CPU probe：优先尝试 max_connections=56 或仅关闭 track_activities=false；不要同时改 plan_cache_mode、wal_writer 和 bgwriter。若 track_counts=false 明显提升，再考虑把 shared_buffers=24GB/effective_cache_size=52GB 作为独立静态缓存 probe。,如果本轮回退，立即恢复 track_counts=true、stats_fetch_consistency=cache，并把统计开销方向降级；下一轮不要再关闭 track_counts/track_activities，转而测试 max_connections=56 单独变化，或测试 checkpoint_flush_after/bgwriter_flush_after=524288 的 p95 平滑方向。继续避免上一轮失败组合：plan_cache_mode=force_generic_plan、wal_writer_delay=50、wal_writer_flush_after=8MB、bgwriter_delay=200、bgwriter_lru_maxpages=100、max_connections=48 同时出现。,"Score did not improve enough: incumbent=606.557, candidate=588.507."
5,2026-05-15T23:44:59.682804,db,rollback,db_config,max_connections,610.0314606741573,tps,5429.28,5429.28,8.9,continue_db,benchmark_max,db,如果本轮成功或接近当前最好结果，下一轮继续沿 connection_thread_budget 做窄范围静态细调：优先在 max_connections=52 或 60 中选一个单变量测试，或在保持 max_connections=56 的基础上单独测试 wal_writer_delay=10ms。不要同时改变 track_counts、plan_cache_mode、bgwriter 和 flush_after。若 max_connections=56 明显提升且指标仍显示 evictions=0、buffers_backend=0，可再考虑 shared_buffers=24GB/effective_cache_size=52GB 的独立静态缓存 probe。,如果本轮回退或出现连接不足，立即恢复 max_connections=64。下一轮不要把 max_connections 降到 48 或更低，也不要重试 round3/round4 的统计关闭方向；改为测试 checkpoint_flush_after=524288 与 bgwriter_flush_after=524288 的 p95 平滑小组合，或单独测试 wal_writer_delay=10ms。继续避免失败组合：plan_cache_mode=force_generic_plan、track_counts=false、track_activities=false、wal_writer_delay=50、wal_writer_flush_after=8MB、bgwriter_delay=200、bgwriter_lru_maxpages=100 同时出现。,"Score did not improve enough: incumbent=606.557, candidate=610.031."
6,2026-05-15T23:47:18.693916,os_sysctl,rollback,os_config,"kernel.sched_autogroup_enabled,vm.dirty_background_ratio,vm.dirty_expire_centisecs,vm.dirty_ratio,vm.dirty_writeback_centisecs,vm.overcommit_memory,vm.swappiness,vm.vfs_cache_pressure",588.5132450331126,tps,5331.93,5331.93,9.06,switch_to_os_sysctl,benchmark_max,os_sysctl,如果本轮成功或接近成功，下一轮继续在 os_sysctl 层围绕 dirty writeback 做窄幅细调：优先比较 vm.dirty_background_ratio=15 vs 20、vm.dirty_ratio=30 vs 40，保留 kernel.sched_autogroup_enabled=0；若 p95 改善但 TPS 不升，可试 dirty_writeback_centisecs=1500 以减少过度延迟回写后的抖动。验证时注意每轮之间给足够 flush/cooldown，避免上一轮累积脏页污染下一轮。,如果本轮回退，优先怀疑 dirty 阈值过高导致回写积压或后测污染；下一轮恢复更保守的 dirty 策略：vm.dirty_background_ratio=5、vm.dirty_ratio=15、vm.dirty_writeback_centisecs=500、vm.dirty_expire_centisecs=3000，但可继续保留 kernel.sched_autogroup_enabled=0 单独验证。若仅 p95 变差而 TPS 接近，避免继续使用 dirty_expire_centisecs=6000/dirty_ratio=40；若没有任何变化，则转向 os_control 的 THP 或 block scheduler/WBT 验证。,"Score did not improve enough: incumbent=606.557, candidate=588.513."
7,2026-05-15T23:49:19.526590,os_sysctl,accepted,os_config,"kernel.sched_autogroup_enabled,vm.dirty_background_ratio,vm.dirty_expire_centisecs,vm.dirty_ratio,vm.dirty_writeback_centisecs",647.6130536130537,tps,5556.52,5556.52,8.58,continue_os_sysctl,normal,os_sysctl,如果本轮成功或非常接近当前最好结果，下一轮保留 kernel.sched_autogroup_enabled=0，并在 dirty 阈值上做窄幅搜索：优先试 vm.dirty_background_ratio=7 或 10、vm.dirty_ratio=15 或 20，确认是更早回写还是仅 sched_autogroup 带来的收益；若 TPS 提升但 p95 不变，可单独加 vm.swappiness=1 做低风险内存噪声验证。,如果本轮回退，说明保守 dirty 更早写回可能干扰短测；下一轮恢复 dirty_background_ratio=10、dirty_ratio=20、dirty_writeback_centisecs=500、dirty_expire_centisecs=3000，并只单独验证 kernel.sched_autogroup_enabled=0；若单独 sched 也无收益，则不要继续在 sysctl dirty/writeback 上消耗轮次，建议切到 os_control 验证 THP defrag=never/THP enabled=never 或 block wbt_lat_usec=0/scheduler=none。,Score improved from 606.557 to 647.613 (6.77%).
8,2026-05-15T23:51:30.384053,os_sysctl,rollback,os_config,"kernel.sched_autogroup_enabled,vm.dirty_background_ratio,vm.dirty_expire_centisecs,vm.dirty_ratio,vm.dirty_writeback_centisecs",644.2086247086247,tps,5527.31,5527.31,8.58,continue_os_sysctl,normal,os_sysctl,如果本轮成功或非常接近当前最好，下一轮继续保留 kernel.sched_autogroup_enabled=0，并做 dirty 窄幅搜索：优先试 vm.dirty_background_ratio=10、dirty_ratio=15；若 TPS 上升且 p95 仍稳，再试 dirty_ratio=20 或单独加入 vm.swappiness=1。不要回到 round6 的 20/40/3000/6000 高 dirty 延迟回写组合。,如果本轮回退，说明当前 5% background 阈值更适合 p95 平滑；下一轮恢复 vm.dirty_background_ratio=5、dirty_ratio=15、dirty_writeback_centisecs=500、dirty_expire_centisecs=3000、kernel.sched_autogroup_enabled=0。随后不要继续提高 dirty_background_ratio，改为单独验证 vm.swappiness=1；若仍无提升，建议切到 os_control 验证 THP defrag/THP enabled 或 block wbt_lat_usec/scheduler。,"Score did not improve enough: incumbent=647.613, candidate=644.209."
9,2026-05-15T23:53:40.680482,os_control,accepted,os_control,"block.nomerges,block.scheduler,block.wbt_lat_usec,transparent_hugepage.defrag,transparent_hugepage.enabled,transparent_hugepage.khugepaged.defrag",660.4721233689205,tps,5567.78,5567.78,8.43,switch_to_os_control,normal,os_control,如果本轮成功或非常接近最好，下一轮保留 THP=never/defrag=never/khugepaged.defrag=0，并围绕块层做细分：优先单独比较 block.rq_affinity=2，或把 block.nr_requests 提到 512/1024；若 p95 稳定但 TPS 仍有空间，再试 block.max_sectors_kb=512。不要再提高 sysctl dirty_background_ratio。,如果本轮回退，下一轮先回滚块层到 block.scheduler=mq-deadline、block.wbt_lat_usec=2000、block.nomerges=0，并保留或单独验证 THP 三项，判断是否是 block 控制导致回退；若 THP-only 也无收益，再恢复 THP=madvise/defrag=madvise/khugepaged.defrag=1，改为更窄的 block.wbt_lat_usec=0 单变量或 repeat_benchmark 确认噪声。避免同时尝试 io_poll=1，因为当前 CPU PSI 已很高。,Score improved from 647.613 to 660.472 (1.99%).
10,2026-05-15T23:55:32.392523,os_control,rollback,os_control,"block.io_poll,block.max_sectors_kb,block.nomerges,block.nr_requests,block.read_ahead_kb,block.rq_affinity,block.scheduler,block.wbt_lat_usec,transparent_hugepage.defrag,transparent_hugepage.enabled,transparent_hugepage.khugepaged.defrag",658.5717674970344,tps,5551.76,5551.76,8.43,continue_os_control,normal,os_control,如果本轮成功或非常接近最好，保留 rq_affinity=2，并继续在 os_control 块层做单变量细调：优先测试 block.max_sectors_kb=512 或 256 看是否进一步削弱短测写回尾延迟；若 p95 稳定但 TPS 未升，再比较 block.nr_requests=512 vs 当前 1024。继续避免 io_poll=1，除非后续 state_metric 显示 IO await/PSI 成为主要瓶颈。,如果本轮回退，立即把 block.rq_affinity 恢复为 1，保留上一轮已接受的 THP=never、scheduler=none、wbt_lat_usec=0、nomerges=2。下一轮不要把 rq_affinity=2 与 nr_requests/max_sectors 组合重试；改为单独验证 block.max_sectors_kb=512，或做一次 repeat_benchmark 确认 round9 的 1.99% 提升是否稳定。若连续两个 os_control 细调都不超过当前最好，再考虑 stop。,"Score did not improve enough: incumbent=660.472, candidate=658.572."
