round_id,timestamp,phase,decision,action_type,changed_keys,score,primary_metric_name,primary_metric_value,tps,p95_latency_ms,audit_action,exploration_mode,auditor_next_phase,next_step,if_failed_next,reason
1,2026-05-15T16:44:13.644017,db,accepted,db_config,"innodb_io_capacity,innodb_io_capacity_max",44.705812574139976,tps,1507.48,1507.48,33.72,continue_db,normal,,,,Score improved from 34.827 to 44.706 (28.36%).
2,2026-05-15T16:47:20.811104,db,accepted,db_config,"innodb_buffer_pool_instances,innodb_buffer_pool_size,innodb_doublewrite,innodb_flush_log_at_trx_commit,innodb_flush_method,innodb_io_capacity,innodb_io_capacity_max,innodb_log_buffer_size,innodb_max_dirty_pages_pct,innodb_open_files,innodb_page_cleaners,innodb_read_io_threads,innodb_redo_log_capacity,innodb_sync_array_size,innodb_write_io_threads,open_files_limit,performance_schema,skip-log-bin,sync_binlog,table_definition_cache,table_open_cache,thread_cache_size",355.50884582982314,tps,4219.89,4219.89,11.87,continue_db,benchmark_max,db,如果本轮成功或接近最好，下一轮沿这个全局 benchmark_max 配置细调：优先比较 innodb_buffer_pool_size 32GiB vs 40GiB/48GiB，innodb_flush_log_at_trx_commit=2 vs 0，以及 innodb_io_capacity 8000 vs 12000；若 p95 仍有 IO 长尾，再调 dirty page 和 page_cleaners。,如果本轮明显回退，优先怀疑重启冷缓存、performance_schema/binlog/doublewrite/O_DIRECT 组合或 32GiB buffer pool 初始化影响；下一轮不要重复完整 benchmark_max 组合，改用较保守动态路线：保留 innodb_io_capacity=8000/16000，只增加 innodb_buffer_pool_size 到 16GiB 或 24GiB，并仅设置 innodb_flush_log_at_trx_commit=2、sync_binlog=0，不关闭 doublewrite/Performance Schema。,Score improved from 44.706 to 355.509 (695.22%).
3,2026-05-15T16:50:37.073599,db,accepted,db_config,"innodb_adaptive_hash_index_parts,innodb_flush_log_at_trx_commit,innodb_flush_method,innodb_flush_sync,innodb_io_capacity,innodb_io_capacity_max,innodb_log_buffer_size,innodb_page_cleaners,innodb_redo_log_capacity,innodb_sync_array_size",446.921129503408,tps,4589.88,4589.88,10.27,continue_db,benchmark_max,db,如果本轮成功或接近最好，下一轮继续在该写路径极限配置上拆分细调：优先比较 io_capacity 12000/24000 vs 16000/32000，以及 page_cleaners 8 vs 4；若 p95 仍下降，可再尝试 innodb_log_checksums=false 或 innodb_change_buffer_max_size=50 的小幅 benchmark_max probe。,如果本轮明显回退，优先怀疑 O_DIRECT_NO_FSYNC、flush_log=0 或 page_cleaners=8 叠加导致噪声/IO 过度；下一轮回到上一轮最好基线的 O_DIRECT、innodb_flush_log_at_trx_commit=2、page_cleaners=4，仅保留一个变量做拆分测试：先单独测试 flush_log=0，若仍失败再恢复 flush_log=2 并只测试 AHI/sync_array 分区。,Score improved from 355.509 to 446.921 (25.71%).
4,2026-05-15T16:53:28.047279,db,accepted,db_config,"innodb_adaptive_flushing_lwm,innodb_change_buffer_max_size,innodb_log_buffer_size,innodb_log_checksums,innodb_max_dirty_pages_pct_lwm,innodb_redo_log_capacity",470.4510595358224,tps,4662.17,4662.17,9.91,continue_db,benchmark_max,db,如果本轮成功或接近最好，下一轮沿“减少短压测后台刷脏 + 写路径 CPU”方向继续：优先保留 log_checksums=false 和 dirty LWM=0，再单独比较 innodb_io_capacity 12000/24000 vs 16000/32000；随后用一次重启拆分测试 innodb_page_cleaners=4 vs 8 或 innodb_adaptive_hash_index_parts=32、innodb_sync_array_size=64。,如果本轮明显回退，优先恢复 innodb_max_dirty_pages_pct_lwm=10、innodb_adaptive_flushing_lwm=10，并把 innodb_log_checksums 恢复为 true 或单独保留一项拆分验证；不要继续叠加更大 change buffer/更低刷脏。下一轮改为隔离测试 page_cleaners=4（保持当前最好其余参数不变），判断 8 个 page cleaner 是否在 12 vCPU 上造成后台竞争。,Score improved from 446.921 to 470.451 (5.26%).
5,2026-05-15T16:56:29.143888,db,rollback,db_config,"innodb_adaptive_flushing,innodb_idle_flush_pct,innodb_log_writer_threads,innodb_lru_scan_depth",467.6025768087215,tps,4718.11,4718.11,10.09,continue_db,benchmark_max,db,如果本轮成功或接近最好，保留 adaptive_flushing=false、lru_scan_depth=512、idle_flush_pct=0；下一轮优先拆分 innodb_log_writer_threads=true/false 的边际影响，随后再测试 innodb_io_capacity=16000、innodb_io_capacity_max=32000 是否能在不增加 p95 的情况下提高 TPS。若仍有 CPU/后台竞争迹象，再做一次重启验证 innodb_page_cleaners=4。,如果本轮回退，优先恢复 innodb_adaptive_flushing=true、innodb_idle_flush_pct=100、innodb_lru_scan_depth=1024、innodb_log_writer_threads=true；不要继续叠加降低刷脏或降低扫描。下一轮改为更单一的动态对比 innodb_io_capacity=16000/32000，或重启隔离测试 innodb_page_cleaners=4（其余保持当前最好配置），判断 8 个 page cleaner 是否过度竞争 CPU。,"Score did not improve enough: incumbent=470.451, candidate=467.603."
6,2026-05-15T16:59:05.894658,db,rollback,db_config,"innodb_io_capacity,innodb_io_capacity_max",462.36769078295345,tps,4665.29,4665.29,10.09,continue_db,benchmark_max,db,如果本轮成功或接近最好，保留 innodb_io_capacity=16000、innodb_io_capacity_max=32000；下一轮优先做一次重启隔离测试 innodb_page_cleaners=4（其余保持当前最好+成功的 io_capacity），判断 8 个 page cleaner 在 12 vCPU 上是否仍有后台竞争。随后再测试 innodb_adaptive_hash_index_parts=32、innodb_sync_array_size=64。,如果本轮回退，恢复 innodb_io_capacity=12000、innodb_io_capacity_max=24000，不要继续提高到更大 IO capacity；下一轮改为重启隔离测试 innodb_page_cleaners=4（保持当前最好其余参数不变），或者只测试 innodb_adaptive_hash_index_parts=32、innodb_sync_array_size=64，避免重复第5轮的 adaptive_flushing=false、lru_scan_depth=512、idle_flush_pct=0、log_writer_threads=false 组合。,"Score did not improve enough: incumbent=470.451, candidate=462.368."
7,2026-05-15T17:01:32.513302,db,rollback,db_config,"innodb_adaptive_flushing,innodb_idle_flush_pct,innodb_io_capacity,innodb_io_capacity_max,innodb_log_writer_threads,innodb_lru_scan_depth,innodb_page_cleaners",452.14118792599805,tps,4643.49,4643.49,10.27,continue_db,benchmark_max,db,如果本轮成功或接近最好，保留 innodb_page_cleaners=4，并在其余参数不变的基础上下一轮重启拆分测试 innodb_adaptive_hash_index_parts=32、innodb_sync_array_size=64；若 AHI/sync 也有效，再考虑轻微测试 innodb_purge_threads=2 或 6。,如果本轮回退，恢复 innodb_page_cleaners=8，不要再重复 page_cleaners=4，也不要继续提高 io_capacity 或重复 adaptive_flushing=false/lru_scan_depth=512/idle_flush_pct=0/log_writer_threads=false。下一轮改为只测试 innodb_adaptive_hash_index_parts=32、innodb_sync_array_size=64，或做一次 repeat_benchmark 确认当前最好分数噪声区间。,"Score did not improve enough: incumbent=470.451, candidate=452.141."
8,2026-05-15T17:03:57.609964,os_sysctl,rollback,os_config,"fs.aio-max-nr,kernel.sched_autogroup_enabled,vm.swappiness",460.9712586719524,tps,4651.2,4651.2,10.09,switch_to_os_sysctl,normal,os_sysctl,如果本轮成功或接近最好，保留 vm.swappiness=1、kernel.sched_autogroup_enabled=0、fs.aio-max-nr=1048576；下一轮在 os_sysctl 继续做 IO/writeback 细调，优先小幅测试 vm.dirty_background_ratio=5、vm.dirty_ratio=20 或仅调整 dirty_writeback_centisecs=50，观察是否进一步降低 p95。,如果本轮回退，优先恢复 kernel.sched_autogroup_enabled=1；vm.swappiness=1 和 fs.aio-max-nr=1048576 若无明显副作用可单独复测或保留。下一轮不要同时叠加更多 CPU 调度 sysctl，改为 repeat_benchmark 确认历史最佳噪声，或转向 os_control 的 THP/block scheduler 单项验证。,"Score did not improve enough: incumbent=470.451, candidate=460.971."
9,2026-05-15T17:06:14.022736,os_sysctl,rollback,os_config,"vm.dirty_background_ratio,vm.dirty_ratio,vm.dirty_writeback_centisecs",459.89197224975226,tps,4640.31,4640.31,10.09,continue_os_sysctl,normal,os_sysctl,如果本轮成功或接近历史最好，保留 dirty_background_ratio=5、dirty_ratio=20、dirty_writeback_centisecs=50；下一轮继续在 os_sysctl 内做小步拆分：优先单独测试 vm.dirty_expire_centisecs=1000，或比较 dirty_background_ratio=3/5，观察 p95 是否继续降低。不要同时重新加入 kernel.sched_autogroup_enabled=0。,如果本轮回退，恢复 vm.dirty_background_ratio=8、vm.dirty_ratio=15、vm.dirty_writeback_centisecs=100；不要继续扩大 dirty_ratio 或降低 writeback 周期。下一轮建议做一次 repeat_benchmark 确认历史最佳噪声区间，或由 auditor 切到 os_control 单项验证 THP defrag/never 或 block scheduler/wbt，而不是重复上一轮失败的 swappiness+aio+autogroup 组合。,"Score did not improve enough: incumbent=470.451, candidate=459.892."
10,2026-05-15T17:08:24.239954,os_control,rollback,os_control,block.scheduler,465.94350842418237,tps,4701.37,4701.37,10.09,switch_to_os_control,normal,os_control,如果本轮成功或接近历史最好，保留 block.scheduler=none；下一轮在 os_control 继续围绕块层做单项细调，优先测试 block.nomerges=2 或 block.rq_affinity=2，不要同时改 THP 和 WBT。,如果本轮回退，恢复 block.scheduler=mq-deadline；不要继续在 scheduler=none 上叠加 nomerges/WBT。下一轮改为单独验证 THP 延迟路线：transparent_hugepage.defrag=never 且 transparent_hugepage.khugepaged.defrag=0，或者先 repeat_benchmark 确认历史最佳噪声区间。,"Score did not improve enough: incumbent=470.451, candidate=465.944."
