round_id,timestamp,phase,decision,action_type,changed_keys,score,primary_metric_name,primary_metric_value,tps,p95_latency_ms,llm_call_count,llm_input_tokens,llm_output_tokens,llm_total_tokens,audit_action,exploration_mode,auditor_next_phase,next_step,if_failed_next,reason
1,2026-05-28T14:36:43.732329,db,accepted,db_config,"back_log,innodb_adaptive_hash_index,innodb_buffer_pool_instances,innodb_buffer_pool_size,innodb_doublewrite,innodb_flush_log_at_trx_commit,innodb_flush_method,innodb_flush_sync,innodb_flushing_avg_loops,innodb_io_capacity,innodb_io_capacity_max,innodb_log_buffer_size,innodb_lru_scan_depth,innodb_max_dirty_pages_pct,innodb_max_dirty_pages_pct_lwm,innodb_page_cleaners,innodb_purge_batch_size,innodb_purge_threads,innodb_read_io_threads,innodb_redo_log_capacity,innodb_sync_array_size,innodb_write_io_threads,max_connections,open_files_limit,performance_schema,skip-log-bin,sync_binlog,table_definition_cache,table_open_cache,table_open_cache_instances,thread_cache_size",2565.304518664047,tps,13057.4,13057.4,5.09,1,37933,6700,44633,continue_db,benchmark_max,db,如果本轮 tps/p95 明显提升，下一轮围绕该组合细调：比较 innodb_flush_log_at_trx_commit=0 vs 2、io_capacity 4000/8000、dirty pct 75/85、page_cleaners 4/8，并观察 p95 是否由 checkpoint 或读 miss 主导。,如果本轮回退，优先怀疑 O_DIRECT 绕过已有 OS cache 或过度关闭观测/写路径保护导致抖动；下一轮避免重复完整组合，保留大 buffer pool、redo/binlog 放松和 IO capacity，但将 innodb_flush_method 回退为 fsync、可暂不关闭 performance_schema，并单独验证 doublewrite OFF 的收益。,Score improved from 60.801 to 2565.305 (4119.18%).
2,2026-05-28T14:40:10.103323,db,accepted,db_config,"innodb_change_buffer_max_size,innodb_flush_log_at_trx_commit,innodb_flush_method,innodb_io_capacity,innodb_io_capacity_max,innodb_max_dirty_pages_pct,innodb_max_dirty_pages_pct_lwm,innodb_redo_log_capacity,innodb_use_fdatasync",4817.827380952381,tps,16187.9,16187.9,3.36,1,40440,5714,46154,continue_db,benchmark_max,db,如果本轮成功或接近成功，下一轮围绕成功项拆分细调：优先比较 innodb_io_capacity=6000/8000/12000、dirty pct=80/85/90、redo=6GiB vs 4GiB，并再考虑是否把 innodb_page_cleaners 提到 8、innodb_write_io_threads 提到 12。,如果本轮回退，优先怀疑 O_DIRECT_NO_FSYNC 或过高 dirty/io_capacity 组合带来抖动；下一轮回到 innodb_flush_method=O_DIRECT、dirty=75/25、io_capacity=4000/12000，仅单独验证 innodb_flush_log_at_trx_commit=0 或 innodb_use_fdatasync=true 的动态收益，不要重复本轮完整组合。,Score improved from 2565.305 to 4817.827 (87.81%).
3,2026-05-28T14:43:34.801293,db,accepted,db_config,"innodb_adaptive_flushing_lwm,innodb_flush_log_at_timeout,innodb_io_capacity,innodb_io_capacity_max,innodb_max_dirty_pages_pct,innodb_max_dirty_pages_pct_lwm",5681.255892255893,tps,16873.33,16873.33,2.97,1,43655,5639,49294,continue_db,benchmark_max,db,如果本轮成功或接近成功，下一轮继续沿动态刷写方向细调：比较 innodb_flush_log_at_timeout=120 vs 60、innodb_adaptive_flushing_lwm=40、io_capacity=4000/6000，并观察 p95 是否仍稳定；若还有余地，再单独重启验证 innodb_page_cleaners=8、innodb_write_io_threads=12。,如果本轮回退，优先回滚 innodb_flush_log_at_timeout=1 和 innodb_adaptive_flushing_lwm=10，恢复 round2 的 io_capacity=8000/io_capacity_max=20000、dirty=85/35；不要重复本轮“延迟刷盘+降低 io_capacity”的组合。随后改走相反方向单独测试 io_capacity=12000/io_capacity_max=30000 或只测试 innodb_flush_log_at_timeout=10，判断是刷写不足导致 p95 尖刺还是 timeout 过激。,Score improved from 4817.827 to 5681.256 (17.92%).
4,2026-05-28T14:46:57.703842,db,accepted,db_config,"innodb_adaptive_flushing_lwm,innodb_flush_log_at_timeout,innodb_io_capacity,innodb_io_capacity_max,innodb_log_checksums,innodb_lru_scan_depth,innodb_max_dirty_pages_pct,innodb_max_dirty_pages_pct_lwm,innodb_stats_auto_recalc",5784.223367697594,tps,16832.09,16832.09,2.91,1,45219,5672,50891,continue_db,benchmark_max,db,如果本轮成功或接近成功，下一轮继续沿“减少后台/CPU 开销”细调：可比较 innodb_lru_scan_depth=512、innodb_io_capacity=3000/4000、innodb_flush_log_at_timeout=180，并考虑单独测试 transaction_isolation=READ-COMMITTED 或 innodb_deadlock_detect=false；若 p95 仍稳定，再尝试更激进的 page checksum/redo 写路径 CPU 项。,如果本轮回退，优先恢复当前最好值：innodb_flush_log_at_timeout=60、innodb_adaptive_flushing_lwm=30、innodb_io_capacity=6000、dirty=90/45、innodb_lru_scan_depth=2048、innodb_log_checksums=true、innodb_stats_auto_recalc=true。不要重复“io_capacity=4000 + LWM=50 + timeout=120 + log_checksums=false”的完整组合；下一轮应拆分验证，先只测 innodb_log_checksums=false 或只测 io_capacity=5000/6000，判断回退来自刷写不足还是 checksum/stat 项。,Score improved from 5681.256 to 5784.223 (1.81%).
5,2026-05-28T14:50:26.897611,db,rollback,db_config,"innodb_checksum_algorithm,innodb_flush_log_at_timeout,innodb_io_capacity,innodb_io_capacity_max,innodb_log_write_ahead_size,innodb_lru_scan_depth",5543.990066225165,tps,16742.85,16742.85,3.02,1,47054,5637,52691,continue_db,benchmark_max,db,如果本轮成功或接近成功，下一轮继续拆分 CPU/语义类开销：优先单独测试 transaction_isolation=READ-COMMITTED；若 row lock/deadlock 仍为 0，再小心测试 innodb_deadlock_detect=false 并配合较短 innodb_lock_wait_timeout 的可行性；同时可比较 innodb_io_capacity=2500/3000 与 innodb_lru_scan_depth=256/512。,如果本轮回退，优先回到当前最好值：innodb_flush_log_at_timeout=120、innodb_io_capacity=4000、innodb_lru_scan_depth=1024、innodb_checksum_algorithm=crc32、innodb_log_write_ahead_size=8192。不要重复“io_capacity=3000 + lru_scan_depth=512 + checksum=none + log_write_ahead=16KB + timeout=180”的完整组合；下一轮应拆分验证，先只测 checksum=none 或只测 io_capacity=3500/4000，判断回退来自校验/redo 写路径还是刷写不足。,"Score did not improve enough: incumbent=5784.223, candidate=5543.990."
6,2026-05-28T14:51:32.651509,db,rejected,db_config,transaction_isolation,,,,,,1,48519,2897,51416,continue_db,benchmark_max,db,如果本轮成功或接近成功，下一轮在 READ-COMMITTED 基础上再小心单独测试 innodb_deadlock_detect=false，并配合 innodb_lock_wait_timeout=3 观察是否出现 timeout/p95 尖刺；也可再单独测试 unique_checks=false、foreign_key_checks=false 对 insert 部分是否有收益。,如果本轮回退，恢复 transaction_isolation=REPEATABLE-READ，不要继续叠加 deadlock_detect=false 或约束检查关闭；下一轮回到当前最好配置后拆分验证 Round5 失败来源，例如只测试 innodb_checksum_algorithm=none，或只测试 innodb_io_capacity=3500/4500，避免重复 timeout=180 + io_capacity=3000 + lru=512 + checksum=none + log_write_ahead=16384 的组合。,Blocked unsafe DB knob(s): transaction_isolation
7,2026-05-28T14:55:08.641425,db,rollback,db_config,"innodb_io_capacity,innodb_io_capacity_max,innodb_log_writer_threads",5279.544615384615,tps,17158.52,17158.52,3.25,1,48254,5553,53807,continue_db,benchmark_max,db,如果本轮成功或接近成功，保留 innodb_log_writer_threads=false，下一轮围绕该新基线继续微调：比较 innodb_io_capacity=4250/4750 或保持 4500 只调 innodb_max_dirty_pages_pct=94、lwm=55；若 p95 明显改善，也可单独测试 innodb_log_write_ahead_size=4096。,如果本轮回退，先恢复 innodb_log_writer_threads=true、innodb_io_capacity=4000、innodb_io_capacity_max=16000；不要再叠加 log_writer_threads=false 与更高 io_capacity。下一轮回到当前最好配置后，按 Round5 的拆分建议单独测试 innodb_checksum_algorithm=none，或只测试 innodb_io_capacity=3500/4000，不要重复 timeout=180 + io_capacity=3000 + lru=512 + checksum=none + log_write_ahead=16384，也不要再尝试被阻断的 transaction_isolation。,"Score did not improve enough: incumbent=5784.223, candidate=5279.545."
8,2026-05-28T14:58:21.207080,os_sysctl,rollback,os_config,"fs.aio-max-nr,kernel.sched_autogroup_enabled,vm.dirty_background_ratio,vm.dirty_expire_centisecs,vm.dirty_ratio,vm.dirty_writeback_centisecs,vm.swappiness",5109.587878787879,tps,16861.64,16861.64,3.3,2,103262,5361,108623,switch_to_os_sysctl,benchmark_max,os_sysctl,如果本轮成功或接近成功，保留 kernel.sched_autogroup_enabled=0、fs.aio-max-nr=1048576、vm.swappiness=1；下一轮在 os_sysctl 内拆分 dirty 策略，比较更激进的 vm.dirty_background_ratio=3、vm.dirty_ratio=10、dirty_writeback_centisecs=50、dirty_expire_centisecs=300，或只保留调度/AIO/低 swappiness 并回调 dirty 参数来判断收益来源。,如果本轮回退，优先恢复 dirty 相关参数到 vm.dirty_background_ratio=10、vm.dirty_ratio=20、vm.dirty_writeback_centisecs=500、vm.dirty_expire_centisecs=3000；保留或单独复测 kernel.sched_autogroup_enabled=0、fs.aio-max-nr=1048576、vm.swappiness=1。不要再提交 kernel.sched_migration_cost_ns，也不要继续叠加低 dirty 阈值与其他调度实验。,"Score did not improve enough: incumbent=5784.223, candidate=5109.588."
9,2026-05-28T15:00:42.487885,os_sysctl,accepted,os_config,"fs.aio-max-nr,kernel.sched_autogroup_enabled,vm.swappiness",6967.333333333334,tps,18184.74,18184.74,2.61,1,51640,2390,54030,continue_os_sysctl,normal,os_sysctl,如果本轮成功或接近成功，保留 kernel.sched_autogroup_enabled=0、fs.aio-max-nr=1048576、vm.swappiness=1；下一轮在 sysctl 内只做温和 dirty 反向测试，例如 vm.dirty_ratio=30、vm.dirty_background_ratio=10、dirty_writeback_centisecs=500、dirty_expire_centisecs=3000，判断放宽内核 dirty 上限是否进一步减少 foreground 干扰；或者拆分单测 sched_autogroup=0 的真实收益。,如果本轮仍回退，恢复 kernel.sched_autogroup_enabled=1、fs.aio-max-nr=65536、vm.swappiness=60；不要再组合调度/AIO/swappiness 与低 dirty 阈值。下一轮可选择 repeat_benchmark 验证当前最好 DB 配置的自然波动，或建议 auditor 进入 os_control，重点看 THP defrag/khugepaged、block rq_affinity/nomerges/read_ahead 等控制层，而不是继续 sysctl dirty writeback。,Score improved from 5784.223 to 6967.333 (20.45%).
10,2026-05-28T15:03:14.890876,os_sysctl,accepted,os_config,"fs.aio-max-nr,kernel.sched_autogroup_enabled,vm.dirty_background_ratio,vm.dirty_expire_centisecs,vm.dirty_ratio,vm.dirty_writeback_centisecs,vm.swappiness",7171.910505836577,tps,18431.81,18431.81,2.57,1,52209,3021,55230,continue_os_sysctl,normal,os_sysctl,如果本轮成功或接近成功，保留 sched_autogroup=0、aio-max-nr=1048576、swappiness=1，并围绕 dirty_ratio 做小步细调：比较 dirty_ratio=25/30/35，必要时再单独测试 dirty_background_ratio=15，保持 writeback/expire 默认，避免一次叠加多个 dirty 变量。,如果本轮回退，恢复 vm.dirty_ratio=20，保留 Round9 成功的 kernel.sched_autogroup_enabled=0、fs.aio-max-nr=1048576、vm.swappiness=1；不要再尝试高 dirty_ratio 或低 dirty 阈值组合。下一轮优先 repeat_benchmark 验证当前最好配置的自然波动，或建议 auditor 切到 os_control，重点看 THP defrag/khugepaged 和 block queue 控制项，而不是继续 sysctl dirty writeback。,Score improved from 6967.333 to 7171.911 (2.94%).
